,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
74,7,LG2.BuLi West3G,10.12.2017,0,0,SSV Baunatal,SSV Baunatal,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,SV Kamen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,14.15 Uhr,Luftgewehr,guest
75,8,LG2.BuLi West3H,10.12.2017,0,0,VSS Epe,VSS Epe,0,0,SV Kamen,SV Kamen,SV Kamen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,15.45 Uhr,Luftgewehr,guest
76,1,LG2.BuLi West4A,14.01.2018,0,0,KarlsSGi Aachen,KarlsSGi Aachen,0,0,SSV Baunatal,SSV Baunatal,SSV Baunatal,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,10.00 Uhr,Luftgewehr,guest
77,2,LG2.BuLi West4B,14.01.2018,0,0,SV Kamen,SV Kamen,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,SSV Baunatal,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,11.30 Uhr,Luftgewehr,guest
78,3,LG2.BuLi West4C,14.01.2018,0,0,SV Kamen,SV Kamen,0,0,KarlsSGi Aachen,KarlsSGi Aachen,SSV Baunatal,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,14.15 Uhr,Luftgewehr,guest
79,4,LG2.BuLi West4D,14.01.2018,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,0,0,SSV Baunatal,SSV Baunatal,SSV Baunatal,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,15.45 Uhr,Luftgewehr,guest
80,5,LG2.BuLi West4E,14.01.2018,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,BSV Buer-Bülse,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,10.00 Uhr,Luftgewehr,guest
81,6,LG2.BuLi West4F,14.01.2018,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,0,0,VSS Epe,VSS Epe,BSV Buer-Bülse,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,11.30 Uhr,Luftgewehr,guest
82,7,LG2.BuLi West4G,14.01.2018,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,0,0,VSS Epe,VSS Epe,BSV Buer-Bülse,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,14.15 Uhr,Luftgewehr,guest
83,8,LG2.BuLi West4H,14.01.2018,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,BSV Buer-Bülse,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=4,15.45 Uhr,Luftgewehr,guest
