,first_name,home,id,last_name,point,position,result,shoot_off,team_full
202,Antje,True,LP2.BuLi Nord1C,Noeske,1,2,378, ,"('GTV Bremerhaven-Seestadtteufel',)"
203,Isabel,False,LP2.BuLi Nord1C,Kausch,0,2,361, ,"('SP Brackstedt',)"
204,Theo,True,LP2.BuLi Nord1C,Hadrath,1,3,378, ,"('GTV Bremerhaven-Seestadtteufel',)"
205,Patrick,False,LP2.BuLi Nord1C,Samse,0,3,366, ,"('SP Brackstedt',)"
206,Thomas,True,LP2.BuLi Nord1C,Lüken,1,4,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
207,Katja,False,LP2.BuLi Nord1C,Broich,0,4,359, ,"('SP Brackstedt',)"
208,Frank,True,LP2.BuLi Nord1C,Heitmeyer,1,5,361, ,"('GTV Bremerhaven-Seestadtteufel',)"
209,Katja,False,LP2.BuLi Nord1C,Kutzeck,0,5,358, ,"('SP Brackstedt',)"
210,Mandy,True,LP2.BuLi Nord1C,Horn,0,1,365, ,"('SV Stoppelmarkt',)"
211,Christoph,False,LP2.BuLi Nord1C,Varnhorn,1,1,375, ,"('SV Haendorf',)"
212,Rita,True,LP2.BuLi Nord1C,Müller,0,2,354, ,"('SV Stoppelmarkt',)"
213,Jens,False,LP2.BuLi Nord1C,Frieling,1,2,371, ,"('SV Haendorf',)"
214,Alexandra,True,LP2.BuLi Nord1C,Rolfes,0,3,361, ,"('SV Stoppelmarkt',)"
215,Stefan,False,LP2.BuLi Nord1C,Pabstmann,1,3,365, ,"('SV Haendorf',)"
216,Reinhard,True,LP2.BuLi Nord1C,Tönjes,0,4,345, ,"('SV Stoppelmarkt',)"
217,Timon,False,LP2.BuLi Nord1C,Cordes,1,4,373, ,"('SV Haendorf',)"
218,Tobias,True,LP2.BuLi Nord1C,Schierholt,1,5,378, ,"('SV Stoppelmarkt',)"
219,Marc,False,LP2.BuLi Nord1C,Bonne,0,5,373, ,"('SV Haendorf',)"
220,Meik,True,LP2.BuLi Nord1C,Kutzeck,0,1,340, ,"('SP Brackstedt',)"
221,Christoph,False,LP2.BuLi Nord1C,Varnhorn,1,1,371, ,"('SV Haendorf',)"
